"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 16 16:10:30 CST 2020","Wed Sep 16 16:10:32 CST 2020","2247","interface.workFlow_test","test_thingInspectionFlow","TestThingInspectionWorkFlow","","","test_4[feed]",""
"passed","Wed Sep 16 11:48:00 CST 2020","Wed Sep 16 11:48:17 CST 2020","16898","interface.thingInspection_test","test_exportThingInspections","TestQueryExportThingInspections","","","test",""
"failed","Wed Sep 16 11:47:03 CST 2020","Wed Sep 16 11:47:03 CST 2020","2","interface.sparePart_test","test_importSpareParts","TestImportSpareParts","","","test_right[import_spare_parts0]",""
"passed","Wed Sep 16 12:02:40 CST 2020","Wed Sep 16 12:02:58 CST 2020","17287","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_12[audit_feed_reject]",""
"passed","Wed Sep 16 11:51:21 CST 2020","Wed Sep 16 11:51:31 CST 2020","9908","interface.thingRepair_test","test_queryThingRepair","TestQueryThingRepairs","","","test_query_thing",""
"passed","Wed Sep 16 12:02:21 CST 2020","Wed Sep 16 12:02:30 CST 2020","9512","interface.workFlow_test","test_thingRepairFlow","TestThingRepairWorkFlow","","","test_12[audit_reject]",""
"passed","Wed Sep 16 11:46:04 CST 2020","Wed Sep 16 11:46:04 CST 2020","2","interface.file_test","test_uploadFile","TestUploadFile","","","test_import_right[upload_file0]",""
"passed","Wed Sep 16 11:47:40 CST 2020","Wed Sep 16 11:47:40 CST 2020","503","interface.thingInspectionRule_test","test_deleteThingInspectionRules","TestDeleteThingMaintenanceRules","","","test_1",""
"passed","Wed Sep 16 11:45:54 CST 2020","Wed Sep 16 11:45:54 CST 2020","154","interface.department_test","test_updateDepartment","TestUpdateDepartment","","","test_1[variable0]",""
"passed","Wed Sep 16 11:46:05 CST 2020","Wed Sep 16 11:46:05 CST 2020","3","interface.file_test","test_uploadFile","TestUploadFile","","","test_import_right[upload_file2]",""
"passed","Wed Sep 16 11:46:25 CST 2020","Wed Sep 16 11:46:32 CST 2020","6573","interface.sparePartReceipt_test","test_deleteSparePartReceipts","TestDeleteSparePartReceipts","","","test_1",""
"passed","Wed Sep 16 16:09:44 CST 2020","Wed Sep 16 16:10:30 CST 2020","45297","interface.workFlow_test","test_thingInspectionFlow","TestThingInspectionWorkFlow","","","test_3",""
"passed","Wed Sep 16 17:05:17 CST 2020","Wed Sep 16 17:05:23 CST 2020","5898","interface.workFlow_test","test_thingMaintanenceFlow","TestThingMaintenanceWorkFlow","","","test_7[feed]",""
"passed","Thu Sep 17 17:11:40 CST 2020","Thu Sep 17 17:11:40 CST 2020","1","interface.Role_test","test_permissions","TestPermission","","","test",""
"passed","Thu Sep 17 18:11:05 CST 2020","Thu Sep 17 18:11:05 CST 2020","117","interface.sparePart_test","test_createSparePart","TestCreateSparePart","","","test_2[variable0]",""
"passed","Wed Sep 16 11:52:33 CST 2020","Wed Sep 16 11:52:39 CST 2020","5487","interface.thing_test","test_updateThing","TestUpdateThing","","","test_1[variable0]",""
"failed","Wed Sep 16 11:53:37 CST 2020","Wed Sep 16 11:53:43 CST 2020","6732","interface.workFlow_test","test_sparePartOutboundFlow","TestSparePartOutBoundWorkFlow","","","test_9[audit_pass]",""
